Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9496495127372201,0.9366859027205277,0.9651715936119606,0.9507154213036566,0.9920007148905601
XGBoost,0.9449478543340742,0.9348042468480424,0.9573564390078152,0.9459459459459459,0.9901467525096587
Bagging,0.9450333390323132,0.9384512460277639,0.9532789670404349,0.9458069953645175,0.983947468055009
KNN,0.9204137459394768,0.8712722913232429,0.9877675840978594,0.9258698940998488,0.9650199979935357
MLP,0.8692084116943067,0.8412723284236916,0.9121644580360176,0.8752852950766221,0.9406277777426998
Logistic Regression,0.859719610189776,0.8525161933233683,0.8720693170234455,0.8621819098009574,0.9301694339736479
Decision Tree,0.9260557360232519,0.9215785054575987,0.9323819232076113,0.9269487374377164,0.9260154626361524
SVM,0.8461275431697726,0.8398203592814372,0.8577981651376146,0.848714069591528,0.9224244208439357
