Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,TOPSIS Score,Rank
Random Forest,0.94964951273722,0.9366859027205277,0.9651715936119606,0.9507154213036566,0.99200071489056,0.9065868500915361,1.0
XGBoost,0.9449478543340742,0.9348042468480424,0.9573564390078152,0.945945945945946,0.9901467525096588,0.8698126937808714,2.0
Bagging,0.9450333390323132,0.938451246027764,0.9532789670404348,0.9458069953645176,0.983947468055009,0.8525020478616873,3.0
KNN,0.9204137459394768,0.8712722913232429,0.9877675840978594,0.9258698940998488,0.9650199979935355,0.6782324018704483,4.0
Decision Tree,0.926055736023252,0.9215785054575988,0.9323819232076112,0.9269487374377164,0.9260154626361524,0.6335925238858795,5.0
MLP,0.8692084116943067,0.8412723284236916,0.9121644580360176,0.8752852950766221,0.9406277777426998,0.27673090750024454,6.0
Logistic Regression,0.859719610189776,0.8525161933233683,0.8720693170234455,0.8621819098009574,0.930169433973648,0.12290650293839549,7.0
SVM,0.8461275431697726,0.8398203592814372,0.8577981651376146,0.848714069591528,0.9224244208439356,0.0,8.0
